Daily index,Segment,Timestamp,Duration
,QUESTIONS,00:44:20,00:00:20
,NON-FUNCTIONAL CONTINUUM,00:44:40,00:00:35
,NON-CORE MODULE CONTINUUM,00:45:15,00:01:35
,DONE,00:46:50,00:00:43
,RECORDING ENDS,00:47:33,
,,,
14,INTRO,00:00:26,00:02:07
,INBOX,00:02:33,00:18:52
,FIRES,00:21:25,00:04:15
,PRIORITY LANE,00:25:40,00:00:35
,OUTBOX,00:26:15,00:06:15
,QUESTIONS,00:32:30,00:00:45
,NON-FUNCTIONAL CONTINUUM,00:33:15,00:01:45
,NON-CORE MODULE CONTINUUM,00:35:00,00:00:42
,DONE,00:35:42,00:00:24
,RECORDING ENDS,00:36:06,
,,,
15,INTRO,00:00:25,00:01:35
,INBOX,00:02:00,00:05:55
,NON-FUNCTIONAL CONTINUUM,00:07:55,00:05:05
,INBOX,00:13:00,00:14:55
,FIRES,00:27:55,00:06:40
,PRIORITY LANE,00:34:35,00:02:40
,OUTBOX,00:37:15,00:08:05
,QUESTIONS,00:45:20,00:02:25
,NON-FUNCTIONAL CONTINUUM,00:47:45,00:01:15
,NON-CORE MODULE CONTINUUM,00:49:00,00:02:28
,DONE,00:51:28,00:00:16
,RECORDING ENDS,00:51:44,
,,,
16,INTRO,00:00:12,00:12:33
,OUTBOX,00:12:45,00:20:05
,PRIORITY LANE,00:32:50,00:00:30
,OUTBOX,00:33:20,00:07:13
,INBOX,00:40:33,00:15:30
,FIRES,00:56:03,00:03:45
,DONE,00:59:48,
,RECORDING ENDS,01:00:21,
,,,
17,INTRO,00:01:11,00:01:54
,FIRES,00:03:05,00:12:47
,INBOX,00:15:52,00:22:08
,FIRES,00:38:00,00:00:25
,PRIORITY LANE,00:38:25,00:01:05
,OUTBOX,00:39:30,00:04:00
,MONEYBOX,00:43:30,00:00:45
,QUESTIONS,00:44:15,00:00:20
,NON-FUNCTIONAL CONTINUUM,00:44:35,00:05:45
,NON-CORE MODULE CONTINUUM,00:50:20,00:02:53
,DONE,00:53:13,00:00:22
,RECORDING ENDS,00:53:35,
,,,
18,INTRO,00:00:15,00:03:38
,CYCLES,00:03:53,00:12:02
,INBOX,00:15:55,00:12:50
,FIRES,00:28:45,00:06:20
,PRIORITY LANE,00:35:05,00:00:15
,OUTBOX,00:35:20,00:02:25
,QUESTIONS,00:37:45,00:00:40
,NON-FUNCTIONAL CONTINUUM,00:38:25,00:00:25
,NON-CORE MODULE CONTINUUM,00:38:50,00:01:25
,DONE,00:40:15,00:00:14
,RECORDING ENDS,00:40:29,
,,,
19,INTRO,00:01:15,00:09:55
,INBOX,00:11:10,00:20:20
,FIRES,00:31:30,00:12:45
,OUTBOX,00:44:15,00:01:18
,MONEYBOX,00:45:33,00:00:04
,WATBOX,00:45:37,00:00:13
,QUESTIONS,00:45:50,00:00:30
,MARKETING BOX,00:46:20,00:00:13
,NON-CORE MODULE CONTINUUM,00:46:33,00:00:57
,NON-FUNCTIONAL CONTINUUM,00:47:30,00:02:10
,DONE,00:49:40,00:00:17
,RECORDING ENDS,00:49:57,
,,,
20,INTRO,00:00:16,00:04:04
,INBOX,00:04:20,00:18:25
,FIRES,00:22:45,00:10:55
,PRIORITY LANE,00:33:40,00:01:45
,OUTBOX,00:35:25,00:02:35
,NON-FUNCTIONAL CONTINUUM,00:38:00,00:00:45
,NON-CORE MODULE CONTINUUM,00:38:45,00:00:55
,DONE,00:39:40,00:01:31
,RECORDING ENDS,00:41:11,
